,Sno,Province/State,Country,Last Update,Confirmed,Deaths,Recovered,lat_long
259,260,,Ivory Coast,1/27/2020 20:30,0.0,0.0,0.0,"(46.3144754, 11.0480288)"
260,261,New South Wales,Australia,1/27/2020 20:30,4.0,0.0,0.0,"(-31.8759835, 147.2869493)"
261,262,Victoria,Australia,1/27/2020 20:30,1.0,0.0,0.0,"(-36.5986096, 144.6780052)"
262,263,Hubei,Mainland China,1/28/2020 23:00,3554.0,125.0,80.0,"(31.15172525, 112.87832224656043)"
263,264,Zhejiang,Mainland China,1/28/2020 23:00,296.0,0.0,3.0,"(29.0000001, 119.9999999)"
264,265,Guangdong,Mainland China,1/28/2020 23:00,241.0,0.0,5.0,"(23.1357694, 113.1982688)"
265,266,Hunan,Mainland China,1/28/2020 23:00,221.0,0.0,0.0,"(27.9995878, 112.009538)"
266,267,Henan,Mainland China,1/28/2020 23:00,206.0,2.0,1.0,"(34.0000001, 113.9999999)"
267,268,Anhui,Mainland China,1/28/2020 23:00,152.0,0.0,0.0,"(32.0, 117.0)"
268,269,Chongqing,Mainland China,1/28/2020 23:00,147.0,0.0,1.0,"(30.05518, 107.8748712)"
269,270,Shandong,Mainland China,1/28/2020 23:00,121.0,0.0,0.0,"(36.0000001, 118.9999999)"
270,271,Jiangxi,Mainland China,1/28/2020 23:00,109.0,0.0,3.0,"(28.0, 116.0)"
271,272,Sichuan,Mainland China,1/28/2020 23:00,108.0,0.0,0.0,"(30.5000001, 102.4999999)"
272,273,Jiangsu,Mainland China,1/28/2020 23:00,99.0,0.0,1.0,"(33.0000001, 119.9999999)"
273,274,Beijing,Mainland China,1/28/2020 23:00,91.0,1.0,4.0,"(39.906217, 116.3912757)"
274,275,Fujian,Mainland China,1/28/2020 23:00,82.0,0.0,0.0,"(26.5450001, 117.842778)"
275,276,Shanghai,Mainland China,1/28/2020 23:00,80.0,1.0,4.0,"(31.2322758, 121.4692071)"
276,277,Guangxi,Mainland China,1/28/2020 23:00,58.0,0.0,2.0,"(24.0, 109.0)"
277,278,Shaanxi,Mainland China,1/28/2020 23:00,56.0,0.0,0.0,"(36.0, 109.0)"
278,279,Hebei,Mainland China,1/28/2020 23:00,48.0,1.0,0.0,"(39.0000001, 116.0)"
279,280,Yunnan,Mainland China,1/28/2020 23:00,44.0,0.0,0.0,"(25.0, 102.0)"
280,281,Hainan,Mainland China,1/28/2020 23:00,43.0,1.0,0.0,"(19.2000001, 109.5999999)"
281,282,Heilongjiang,Mainland China,1/28/2020 23:00,37.0,1.0,0.0,"(48.0000047, 127.999992)"
282,283,Liaoning,Mainland China,1/28/2020 23:00,36.0,0.0,0.0,"(40.9975197, 122.9955469)"
283,284,Shanxi,Mainland China,1/28/2020 23:00,27.0,0.0,0.0,"(37.0, 112.0)"
284,285,Tianjin,Mainland China,1/28/2020 23:00,25.0,0.0,0.0,"(39.1235635, 117.1980785)"
285,286,Gansu,Mainland China,1/28/2020 23:00,24.0,0.0,0.0,"(38.0000001, 101.9999999)"
286,287,Inner Mongolia,Mainland China,1/28/2020 23:00,16.0,0.0,0.0,"(43.2443242, 114.3251664)"
287,288,Xinjiang,Mainland China,1/28/2020 23:00,13.0,0.0,0.0,"(41.7574769, 87.16738423046897)"
288,289,Ningxia,Mainland China,1/28/2020 23:00,12.0,0.0,0.0,"(37.0000001, 105.9999999)"
289,290,Guizhou,Mainland China,1/28/2020 23:00,9.0,0.0,0.0,"(27.0, 107.0)"
290,291,Jilin,Mainland China,1/28/2020 23:00,9.0,0.0,0.0,"(42.9995032, 125.9816054)"
291,292,Hong Kong,Hong Kong,1/28/2020 23:00,8.0,0.0,0.0,"(22.2793278, 114.1628131)"
292,293,Taiwan,Taiwan,1/28/2020 23:00,8.0,0.0,0.0,"(23.9739374, 120.9820179)"
293,294,Macau,Macau,1/28/2020 23:00,7.0,0.0,0.0,"(22.1757605, 113.5514142)"
294,295,Qinghai,Mainland China,1/28/2020 23:00,6.0,0.0,0.0,"(35.40709525, 95.95211573241954)"
295,296,Washington,US,1/28/2020 18:00,1.0,0.0,0.0,"(38.8948932, -77.0365529)"
296,297,Illinois,US,1/28/2020 23:00,1.0,0.0,0.0,"(40.0796606, -89.4337288)"
297,298,California,US,1/28/2020 23:00,2.0,0.0,0.0,"(36.7014631, -118.7559974)"
298,299,Arizona,US,1/28/2020 23:00,1.0,0.0,0.0,"(34.395342, -111.7632755)"
299,300,,Japan,1/28/2020 23:00,7.0,0.0,1.0,"(46.3144754, 11.0480288)"
