,Sno,Province/State,Country,Last Update,Confirmed,Deaths,Recovered,lat_long
0,1,Anhui,China,1/22/2020 12:00,1.0,0.0,0.0,"(32.0, 117.0)"
1,2,Beijing,China,1/22/2020 12:00,14.0,0.0,0.0,"(39.906217, 116.3912757)"
2,3,Chongqing,China,1/22/2020 12:00,6.0,0.0,0.0,"(30.05518, 107.8748712)"
3,4,Fujian,China,1/22/2020 12:00,1.0,0.0,0.0,"(26.5450001, 117.842778)"
4,5,Gansu,China,1/22/2020 12:00,0.0,0.0,0.0,"(38.0000001, 101.9999999)"
5,6,Guangdong,China,1/22/2020 12:00,26.0,0.0,0.0,"(23.1357694, 113.1982688)"
6,7,Guangxi,China,1/22/2020 12:00,2.0,0.0,0.0,"(24.0, 109.0)"
7,8,Guizhou,China,1/22/2020 12:00,1.0,0.0,0.0,"(27.0, 107.0)"
8,9,Hainan,China,1/22/2020 12:00,4.0,0.0,0.0,"(19.2000001, 109.5999999)"
9,10,Hebei,China,1/22/2020 12:00,1.0,0.0,0.0,"(39.0000001, 116.0)"
10,11,Heilongjiang,China,1/22/2020 12:00,0.0,0.0,0.0,"(48.0000047, 127.999992)"
11,12,Henan,China,1/22/2020 12:00,5.0,0.0,0.0,"(34.0000001, 113.9999999)"
12,13,Hong Kong,China,1/22/2020 12:00,0.0,0.0,0.0,"(22.2793278, 114.1628131)"
13,14,Hubei,China,1/22/2020 12:00,444.0,0.0,0.0,"(31.15172525, 112.87832224656043)"
14,15,Hunan,China,1/22/2020 12:00,4.0,0.0,0.0,"(27.9995878, 112.009538)"
15,16,Inner Mongolia,China,1/22/2020 12:00,0.0,0.0,0.0,"(43.2443242, 114.3251664)"
16,17,Jiangsu,China,1/22/2020 12:00,1.0,0.0,0.0,"(33.0000001, 119.9999999)"
17,18,Jiangxi,China,1/22/2020 12:00,2.0,0.0,0.0,"(28.0, 116.0)"
18,19,Jilin,China,1/22/2020 12:00,0.0,0.0,0.0,"(42.9995032, 125.9816054)"
19,20,Liaoning,China,1/22/2020 12:00,2.0,0.0,0.0,"(40.9975197, 122.9955469)"
20,21,Macau,China,1/22/2020 12:00,1.0,0.0,0.0,"(22.1757605, 113.5514142)"
21,22,Ningxia,China,1/22/2020 12:00,1.0,0.0,0.0,"(37.0000001, 105.9999999)"
22,23,Qinghai,China,1/22/2020 12:00,0.0,0.0,0.0,"(35.40709525, 95.95211573241954)"
23,24,Shaanxi,China,1/22/2020 12:00,0.0,0.0,0.0,"(36.0, 109.0)"
24,25,Shandong,China,1/22/2020 12:00,2.0,0.0,0.0,"(36.0000001, 118.9999999)"
25,26,Shanghai,China,1/22/2020 12:00,9.0,0.0,0.0,"(31.2322758, 121.4692071)"
26,27,Shanxi,China,1/22/2020 12:00,1.0,0.0,0.0,"(37.0, 112.0)"
27,28,Sichuan,China,1/22/2020 12:00,5.0,0.0,0.0,"(30.5000001, 102.4999999)"
28,29,Taiwan,China,1/22/2020 12:00,1.0,0.0,0.0,"(23.9739374, 120.9820179)"
29,30,Tianjin,China,1/22/2020 12:00,4.0,0.0,0.0,"(39.1235635, 117.1980785)"
30,31,Tibet,China,1/22/2020 12:00,0.0,0.0,0.0,"(31.894343149999997, 87.07813712706509)"
31,32,Washington,US,1/22/2020 12:00,1.0,0.0,0.0,"(38.8948932, -77.0365529)"
32,33,Xinjiang,China,1/22/2020 12:00,0.0,0.0,0.0,"(41.7574769, 87.16738423046897)"
33,34,Yunnan,China,1/22/2020 12:00,1.0,0.0,0.0,"(25.0, 102.0)"
34,35,Zhejiang,China,1/22/2020 12:00,10.0,0.0,0.0,"(29.0000001, 119.9999999)"
35,36,,Japan,1/22/2020 12:00,2.0,0.0,0.0,"(46.3144754, 11.0480288)"
36,37,,Thailand,1/22/2020 12:00,2.0,0.0,0.0,"(46.3144754, 11.0480288)"
37,38,Anhui,Mainland China,1/23/20 12:00 PM,9.0,0.0,0.0,"(32.0, 117.0)"
38,39,Beijing,Mainland China,1/23/20 12:00 PM,22.0,0.0,0.0,"(39.906217, 116.3912757)"
39,40,Chongqing,Mainland China,1/23/20 12:00 PM,9.0,0.0,0.0,"(30.05518, 107.8748712)"
40,41,Fujian,Mainland China,1/23/20 12:00 PM,5.0,0.0,0.0,"(26.5450001, 117.842778)"
41,42,Gansu,Mainland China,1/23/20 12:00 PM,2.0,0.0,0.0,"(38.0000001, 101.9999999)"
42,43,Guangdong,Mainland China,1/23/20 12:00 PM,32.0,0.0,2.0,"(23.1357694, 113.1982688)"
43,44,Guangxi,Mainland China,1/23/20 12:00 PM,5.0,0.0,0.0,"(24.0, 109.0)"
44,45,Guizhou,Mainland China,1/23/20 12:00 PM,3.0,0.0,0.0,"(27.0, 107.0)"
45,46,Hainan,Mainland China,1/23/20 12:00 PM,5.0,0.0,0.0,"(19.2000001, 109.5999999)"
46,47,Hebei,Mainland China,1/23/20 12:00 PM,1.0,1.0,0.0,"(39.0000001, 116.0)"
47,48,Heilongjiang,Mainland China,1/23/20 12:00 PM,2.0,0.0,0.0,"(48.0000047, 127.999992)"
48,49,Henan,Mainland China,1/23/20 12:00 PM,5.0,0.0,0.0,"(34.0000001, 113.9999999)"
49,50,Hong Kong,Hong Kong,1/23/20 12:00 PM,2.0,0.0,0.0,"(22.2793278, 114.1628131)"
50,51,Hubei,Mainland China,1/23/20 12:00 PM,444.0,17.0,28.0,"(31.15172525, 112.87832224656043)"
51,52,Hunan,Mainland China,1/23/20 12:00 PM,9.0,0.0,0.0,"(27.9995878, 112.009538)"
52,53,Inner Mongolia,Mainland China,1/23/20 12:00 PM,0.0,0.0,0.0,"(43.2443242, 114.3251664)"
53,54,Jiangsu,Mainland China,1/23/20 12:00 PM,5.0,0.0,0.0,"(33.0000001, 119.9999999)"
54,55,Jiangxi,Mainland China,1/23/20 12:00 PM,7.0,0.0,0.0,"(28.0, 116.0)"
55,56,Jilin,Mainland China,1/23/20 12:00 PM,1.0,0.0,0.0,"(42.9995032, 125.9816054)"
56,57,Liaoning,Mainland China,1/23/20 12:00 PM,3.0,0.0,0.0,"(40.9975197, 122.9955469)"
57,58,Macau,Macau,1/23/20 12:00 PM,2.0,0.0,0.0,"(22.1757605, 113.5514142)"
58,59,Ningxia,Mainland China,1/23/20 12:00 PM,1.0,0.0,0.0,"(37.0000001, 105.9999999)"
59,60,Qinghai,Mainland China,1/23/20 12:00 PM,0.0,0.0,0.0,"(35.40709525, 95.95211573241954)"
