,Sno,Province/State,Country,Last Update,Confirmed,Deaths,Recovered,lat_long
300,301,,Thailand,1/28/2020 23:00,14.0,0.0,5.0,"(46.3144754, 11.0480288)"
301,302,,South Korea,1/28/2020 23:00,4.0,0.0,0.0,"(46.3144754, 11.0480288)"
302,303,,Singapore,1/28/2020 23:00,7.0,0.0,0.0,"(46.3144754, 11.0480288)"
303,304,,Vietnam,1/28/2020 23:00,2.0,0.0,0.0,"(46.3144754, 11.0480288)"
304,305,,France,1/28/2020 23:00,4.0,0.0,0.0,"(46.3144754, 11.0480288)"
305,306,,Nepal,1/28/2020 23:00,1.0,0.0,0.0,"(46.3144754, 11.0480288)"
306,307,,Malaysia,1/28/2020 23:00,7.0,0.0,0.0,"(46.3144754, 11.0480288)"
307,308,Ontario,Canada,1/28/2020 23:00,1.0,0.0,0.0,"(50.000678, -86.000977)"
308,309,British Columbia,Canada,1/28/2020 23:00,1.0,0.0,0.0,"(55.001251, -125.002441)"
309,310,,Cambodia,1/28/2020 23:00,1.0,0.0,0.0,"(46.3144754, 11.0480288)"
310,311,,Sri Lanka,1/28/2020 23:00,1.0,0.0,0.0,"(46.3144754, 11.0480288)"
311,312,New South Wales,Australia,1/28/2020 23:00,4.0,0.0,0.0,"(-31.8759835, 147.2869493)"
312,313,Victoria,Australia,1/28/2020 23:00,1.0,0.0,0.0,"(-36.5986096, 144.6780052)"
313,314,Hubei,Mainland China,1/29/2020 21:00,4586.0,162.0,90.0,"(31.15172525, 112.87832224656043)"
314,315,Zhejiang,Mainland China,1/29/2020 21:00,428.0,0.0,4.0,"(29.0000001, 119.9999999)"
315,316,Guangdong,Mainland China,1/29/2020 21:00,311.0,0.0,6.0,"(23.1357694, 113.1982688)"
316,317,Henan,Mainland China,1/29/2020 21:00,278.0,2.0,2.0,"(34.0000001, 113.9999999)"
317,318,Hunan,Mainland China,1/29/2020 21:00,277.0,0.0,0.0,"(27.9995878, 112.009538)"
318,319,Anhui,Mainland China,1/29/2020 21:00,200.0,0.0,2.0,"(32.0, 117.0)"
319,320,Chongqing,Mainland China,1/29/2020 21:00,165.0,0.0,1.0,"(30.05518, 107.8748712)"
320,321,Jiangxi,Mainland China,1/29/2020 21:00,162.0,0.0,4.0,"(28.0, 116.0)"
321,322,Shandong,Mainland China,1/29/2020 21:00,145.0,0.0,1.0,"(36.0000001, 118.9999999)"
322,323,Sichuan,Mainland China,1/29/2020 21:00,142.0,1.0,1.0,"(30.5000001, 102.4999999)"
323,324,Jiangsu,Mainland China,1/29/2020 21:00,129.0,0.0,1.0,"(33.0000001, 119.9999999)"
324,325,Beijing,Mainland China,1/29/2020 21:00,111.0,1.0,4.0,"(39.906217, 116.3912757)"
325,326,Shanghai,Mainland China,1/29/2020 21:00,101.0,1.0,5.0,"(31.2322758, 121.4692071)"
326,327,Fujian,Mainland China,1/29/2020 21:00,101.0,0.0,0.0,"(26.5450001, 117.842778)"
327,328,Guangxi,Mainland China,1/29/2020 21:00,78.0,0.0,2.0,"(24.0, 109.0)"
328,329,Hebei,Mainland China,1/29/2020 21:00,65.0,1.0,0.0,"(39.0000001, 116.0)"
329,330,Shaanxi,Mainland China,1/29/2020 21:00,56.0,0.0,0.0,"(36.0, 109.0)"
330,331,Yunnan,Mainland China,1/29/2020 21:00,55.0,0.0,0.0,"(25.0, 102.0)"
331,332,Hainan,Mainland China,1/29/2020 21:00,43.0,1.0,0.0,"(19.2000001, 109.5999999)"
332,333,Heilongjiang,Mainland China,1/29/2020 21:00,43.0,1.0,0.0,"(48.0000047, 127.999992)"
333,334,Liaoning,Mainland China,1/29/2020 21:00,39.0,0.0,1.0,"(40.9975197, 122.9955469)"
334,335,Shanxi,Mainland China,1/29/2020 21:00,35.0,0.0,1.0,"(37.0, 112.0)"
335,336,Tianjin,Mainland China,1/29/2020 21:00,27.0,0.0,0.0,"(39.1235635, 117.1980785)"
336,337,Gansu,Mainland China,1/29/2020 21:00,26.0,0.0,0.0,"(38.0000001, 101.9999999)"
337,338,Inner Mongolia,Mainland China,1/29/2020 21:00,16.0,0.0,0.0,"(43.2443242, 114.3251664)"
338,339,Jilin,Mainland China,1/29/2020 21:00,14.0,0.0,1.0,"(42.9995032, 125.9816054)"
