,Sno,Province/State,Country,Last Update,Confirmed,Deaths,Recovered,lat_long
100,101,Shaanxi,Mainland China,1/24/2020 12:00 PM,5.0,0.0,0.0,"(36.0, 109.0)"
101,102,Heilongjiang,Mainland China,1/24/2020 12:00 PM,4.0,1.0,0.0,"(48.0000047, 127.999992)"
102,103,Liaoning,Mainland China,1/24/2020 12:00 PM,4.0,0.0,0.0,"(40.9975197, 122.9955469)"
103,104,Guizhou,Mainland China,1/24/2020 12:00 PM,3.0,0.0,0.0,"(27.0, 107.0)"
104,105,Jilin,Mainland China,1/24/2020 12:00 PM,3.0,0.0,0.0,"(42.9995032, 125.9816054)"
105,106,Taiwan,Taiwan,1/24/2020 12:00 PM,3.0,0.0,0.0,"(23.9739374, 120.9820179)"
106,107,Ningxia,Mainland China,1/24/2020 12:00 PM,2.0,0.0,0.0,"(37.0000001, 105.9999999)"
107,108,Hong Kong,Hong Kong,1/24/2020 12:00 PM,2.0,0.0,0.0,"(22.2793278, 114.1628131)"
108,109,Macau,Macau,1/24/2020 12:00 PM,2.0,0.0,0.0,"(22.1757605, 113.5514142)"
109,110,Hebei,Mainland China,1/24/2020 12:00 PM,2.0,1.0,0.0,"(39.0000001, 116.0)"
110,111,Gansu,Mainland China,1/24/2020 12:00 PM,2.0,0.0,0.0,"(38.0000001, 101.9999999)"
111,112,Xinjiang,Mainland China,1/24/2020 12:00 PM,2.0,0.0,0.0,"(41.7574769, 87.16738423046897)"
112,113,Shanxi,Mainland China,1/24/2020 12:00 PM,1.0,0.0,0.0,"(37.0, 112.0)"
113,114,Inner Mongolia,Mainland China,1/24/2020 12:00 PM,1.0,0.0,0.0,"(43.2443242, 114.3251664)"
114,115,Qinghai,Mainland China,1/24/2020 12:00 PM,0.0,0.0,0.0,"(35.40709525, 95.95211573241954)"
115,116,Washington,US,1/24/2020 12:00 PM,1.0,0.0,0.0,"(38.8948932, -77.0365529)"
116,117,Chicago,US,1/24/2020 12:00 PM,1.0,0.0,0.0,"(41.8755616, -87.6244212)"
117,118,,Japan,1/24/2020 12:00 PM,2.0,0.0,0.0,"(46.3144754, 11.0480288)"
118,119,,Thailand,1/24/2020 12:00 PM,5.0,0.0,0.0,"(46.3144754, 11.0480288)"
119,120,,South Korea,1/24/2020 12:00 PM,2.0,0.0,0.0,"(46.3144754, 11.0480288)"
120,121,,Singapore,1/24/2020 12:00 PM,3.0,0.0,0.0,"(46.3144754, 11.0480288)"
121,122,,Vietnam,1/24/2020 12:00 PM,2.0,0.0,0.0,"(46.3144754, 11.0480288)"
122,123,Hubei,Mainland China,1/25/2020 10:00 PM,1052.0,52.0,42.0,"(31.15172525, 112.87832224656043)"
123,124,Zhejiang,Mainland China,1/25/2020 10:00 PM,104.0,0.0,1.0,"(29.0000001, 119.9999999)"
124,125,Guangdong,Mainland China,1/25/2020 12:00 PM,98.0,0.0,2.0,"(23.1357694, 113.1982688)"
125,126,Henan,Mainland China,1/25/2020 12:00 PM,83.0,1.0,0.0,"(34.0000001, 113.9999999)"
126,127,Chongqing,Mainland China,1/25/2020 12:00 PM,75.0,0.0,0.0,"(30.05518, 107.8748712)"
127,128,Hunan,Mainland China,1/25/2020 12:00 PM,69.0,0.0,0.0,"(27.9995878, 112.009538)"
128,129,Anhui,Mainland China,1/25/2020 12:00 PM,60.0,0.0,0.0,"(32.0, 117.0)"
129,130,Beijing,Mainland China,1/25/2020 12:00 PM,51.0,0.0,2.0,"(39.906217, 116.3912757)"
130,131,Sichuan,Mainland China,1/25/2020 12:00 PM,44.0,0.0,0.0,"(30.5000001, 102.4999999)"
131,132,Shanghai,Mainland China,1/25/2020 12:00 PM,40.0,1.0,1.0,"(31.2322758, 121.4692071)"
132,133,Shandong,Mainland China,1/25/2020 12:00 PM,39.0,0.0,0.0,"(36.0000001, 118.9999999)"
133,134,Jiangxi,Mainland China,1/25/2020 12:00 PM,36.0,0.0,0.0,"(28.0, 116.0)"
134,135,Guangxi,Mainland China,1/25/2020 12:00 PM,33.0,0.0,0.0,"(24.0, 109.0)"
135,136,Jiangsu,Mainland China,1/25/2020 12:00 PM,31.0,0.0,1.0,"(33.0000001, 119.9999999)"
136,137,Hainan,Mainland China,1/25/2020 12:00 PM,19.0,0.0,0.0,"(19.2000001, 109.5999999)"
137,138,Liaoning,Mainland China,1/25/2020 12:00 PM,19.0,0.0,0.0,"(40.9975197, 122.9955469)"
138,139,Fujian,Mainland China,1/25/2020 12:00 PM,18.0,1.0,0.0,"(26.5450001, 117.842778)"
139,140,Heilongjiang,Mainland China,1/25/2020 12:00 PM,15.0,0.0,0.0,"(48.0000047, 127.999992)"
140,141,Shaanxi,Mainland China,1/25/2020 12:00 PM,15.0,0.0,0.0,"(36.0, 109.0)"
141,142,Tianjin,Mainland China,1/25/2020 12:00 PM,13.0,0.0,0.0,"(39.1235635, 117.1980785)"
142,143,Hebei,Mainland China,1/25/2020 12:00 PM,13.0,1.0,0.0,"(39.0000001, 116.0)"
143,144,Yunnan,Mainland China,1/25/2020 12:00 PM,11.0,0.0,0.0,"(25.0, 102.0)"
